"Source Name","Date Modified","Data Source","Date Created",Owner,Organization,Description
pri-bottle_l.ott,"2005-07-28 15:25:59 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Bottle
pri-mail_l.ott,"2005-07-28 15:25:49 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Mail
pri-redline_l.ott,"2005-07-28 15:25:37 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,"Red Line"
pri-marine_l.ott,"2005-07-28 15:26:10 EEST",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Marine
bus-elegant_l.ott,"2005-12-20 13:08:18 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Елегантно
bus-modern_l.ott,"2005-12-20 14:04:26 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Модерно
bus-office_l.ott,"2005-12-20 14:04:29 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Офис
off-elegant_l.ott,"2005-12-20 14:04:30 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Елегантно
off-office_l.ott,"2005-12-20 14:04:23 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Офис
off-modern_l.ott,"2005-12-20 14:04:32 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Модерно
pri-bottle_l.ott,"2005-12-13 02:54:54 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Бутилка
pri-mail_l.ott,"2005-12-13 02:54:44 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Поща
pri-redline_l.ott,"2005-12-13 02:54:24 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,"Червена линия"
pri-marine_l.ott,"2005-12-13 02:54:34 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Морски
bus-elegant_l.ott,"2007-12-10 12:03:14 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Elegantní
bus-modern_l.ott,"2007-12-10 12:02:29 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Moderní
bus-office_l.ott,"2007-12-10 12:01:31 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Kancelářský
off-elegant_l.ott,"2007-12-10 12:00:08 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Elegantní
off-office_l.ott,"2007-12-10 12:04:10 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Kancelářský
off-modern_l.ott,"2007-12-10 12:04:56 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Moderní
pri-bottle_l.ott,"2005-03-12 12:28:59 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Láhev
pri-mail_l.ott,"2005-03-12 12:28:49 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Dopis
pri-redline_l.ott,"2005-03-12 12:28:29 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,"Červená linka"
pri-marine_l.ott,"2005-03-12 12:28:39 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Námořnický
bus-elegant_l.ott,"2007-12-10 12:08:06 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Elegant
bus-modern_l.ott,"2007-12-10 12:07:02 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Moderne
bus-office_l.ott,"2007-12-10 12:09:26 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Kontor
off-elegant_l.ott,"2007-12-10 12:08:53 EET",jo-2009-11-16.E01,"2000-01-04 11:52:02 EET","Peter Thielmann",,Elegant
