"Source Name","Source Type",Score,Conclusion,Configuration,Justification,Category,"File Path","Modified Time","Changed Time","Accessed Time","Created Time",Size,"MD5 Hash"
log.txt,File,"Likely Notable",,"Remote Monitoring Management Programs",,Atera,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Jo/Application Data/OpenOffice.org/3/user/uno_packages/cache/log.txt","2009-11-16 20:47:36 EET","2009-11-16 20:47:36 EET","2009-11-16 20:47:36 EET","2009-11-16 20:47:34 EET",53,
log.txt,File,"Likely Notable",,"Remote Monitoring Management Programs",,Atera,"/img_jo-2009-11-16.E01/vol_vol2/Documents and Settings/Administrator/Application Data/OpenOffice.org/3/user/uno_packages/cache/log.txt","2009-11-10 03:24:34 EET","2009-11-10 03:24:34 EET","2009-11-10 03:24:34 EET","2009-11-10 03:24:32 EET",53,
system.LOG,File,"Likely Notable",,"Remote Monitoring Management Programs",,"Kaseya (VSA)","/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/config/system.LOG","2009-11-17 02:32:38 EET","2009-11-17 02:32:38 EET","2009-11-17 02:32:37 EET","2009-11-08 17:51:29 EET",1024,
mstsc.exe,File,"Likely Notable",,"Remote Monitoring Management Programs",,mstsc,"/img_jo-2009-11-16.E01/vol_vol2/WINDOWS/system32/mstsc.exe","2008-04-14 14:00:00 EET","2009-11-11 02:13:04 EET","2009-11-11 22:02:10 EET","2009-11-09 02:19:57 EET",677888,
