"Source Name",URL,"Date Accessed",Name,Value,"Program Name",Domain,"Data Source"
cookies.sqlite,ads.cnn.com,"2009-11-17 02:07:23 EET",NGUserID,"a3d04db-19394-1258397810-1","FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:22 EET",s_vi,"[CS]v1|2580D039851D24BB-60000109A01B23A2[CE]","FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:22 EET",adDEmas,"R00&hi&nps.edu&0&usa&803&90720&5&01&S1&M1&2369&","FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:22 EET",adDEon,true,"FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:22 EET",CNNid,"Gaa54548-6041582-1258397858937-1","FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.unicast.com,"2009-11-17 02:06:22 EET",VWCUK200,"L111609/Q38590_7136_82_111609_8_111709_153666x153468x111609x8x8","FireFox Analyzer",unicast.com,jo-2009-11-16.E01
cookies.sqlite,.aus2.mozilla.org,"2009-11-16 20:57:30 EET",aus2a,"10.2.84.101.1258397827.8081","FireFox Analyzer",mozilla.org,jo-2009-11-16.E01
cookies.sqlite,.revsci.net,"2009-11-17 02:07:23 EET",NETID01,-ltyrA8BEgoAAABogxcA,"FireFox Analyzer",revsci.net,jo-2009-11-16.E01
cookies.sqlite,.cnn.com,"2009-11-17 02:07:25 EET",rsi_segs_ttn,"A09801_10014|A09801_10079|A09801_10001|A09801_10002|A09801_10005|A09801_10012|A09801_10050|A09801_10099","FireFox Analyzer",cnn.com,jo-2009-11-16.E01
cookies.sqlite,.cnnaudience.com,"2009-11-16 20:57:59 EET",AUDid,"aa54548-6041582-1258397858937-1","FireFox Analyzer",cnnaudience.com,jo-2009-11-16.E01
cookies.sqlite,.revsci.net,"2009-11-17 02:07:23 EET",NETSEGS_A09801,"b9b06f707864c4cb&A09801&0&4b268aad&0&&4b00b0c8&ccee80c7cdfc35e10b4ae44363c131ed","FireFox Analyzer",revsci.net,jo-2009-11-16.E01
cookies.sqlite,.bs.serving-sys.com,"2009-11-17 02:07:20 EET",eyeblaster,"BWVal=&BWDate=&debuglevel=","FireFox Analyzer",serving-sys.com,jo-2009-11-16.E01
cookies.sqlite,.serving-sys.com,"2009-11-17 02:07:20 EET",A2,"7xmA7NIv06hH0000820wm77Zs77NGE07JL0000820wm77ZoI7NLq07JL0000820wm7","FireFox Analyzer",serving-sys.com,jo-2009-11-16.E01
cookies.sqlite,.serving-sys.com,"2009-11-17 02:07:20 EET",B2,"44Br0820wm741VN0820wm741V80820wm7","FireFox Analyzer",serving-sys.com,jo-2009-11-16.E01
cookies.sqlite,.serving-sys.com,"2009-11-17 02:07:20 EET",C3,"0ldd820wm70000001_0liog410m70000002_","FireFox Analyzer",serving-sys.com,jo-2009-11-16.E01
cookies.sqlite,.serving-sys.com,"2009-11-17 02:07:20 EET",D3,"0ldd01AX820wm70lio04wAg410m7","FireFox Analyzer",serving-sys.com,jo-2009-11-16.E01
cookies.sqlite,.serving-sys.com,"2009-11-17 02:07:20 EET",E2,07JLg410m706hH820wm7,"FireFox Analyzer",serving-sys.com,jo-2009-11-16.E01
cookies.sqlite,.serving-sys.com,"2009-11-17 02:07:20 EET",U,"ff067c78-91f0-4809-8a55-08df2928341f3zA","FireFox Analyzer",serving-sys.com,jo-2009-11-16.E01
cookies.sqlite,www.googleadservices.com,"2009-11-16 21:04:09 EET",Conversion,"Cn9DekhlLUQ2SUJTNFgwTDRLNG9RVHUyOWptQ3NhQjUzdWF6N3p5RF9hTDRBVUlBQkFCS0FOUXNvV090UVJneWU3c2hzaWo5Qm1nQWI2czJfd0R5QUVCcWdRY1Q5RHp4bWlKdjF3S1B1NEpMMS1GTW9CVkEzdVRQYXBfY2FoTUp3EhMI1KW92pqQngIVDRprCh1GM9yyGAEg44H8o8Se8f9sSAE","FireFox Analyzer",googleadservices.com,jo-2009-11-16.E01
cookies.sqlite,.searchmarketing.com,"2009-11-16 21:04:10 EET",SM,"GUID=156d5388%2D373a%2D4ca1%2D901b%2Dc85651f27208&AID=204373540&LastVisitDate=11%2F16%2F2009+2%3A03%3A47+PM&SMCID=290","FireFox Analyzer",searchmarketing.com,jo-2009-11-16.E01
cookies.sqlite,www.toysrus.com,"2009-11-16 21:04:10 EET",browser_id,94194571224,"FireFox Analyzer",toysrus.com,jo-2009-11-16.E01
cookies.sqlite,.toysrus.com,"2009-11-16 21:04:24 EET",mbox,"check#true#1258398325|session#1258398256352-287406#1258400125","FireFox Analyzer",toysrus.com,jo-2009-11-16.E01
cookies.sqlite,www.toysrus.com,"2009-11-16 21:04:25 EET",ClrSSID,1258398258131-43433,"FireFox Analyzer",toysrus.com,jo-2009-11-16.E01
