"Source Name",Date/Time,"Device Make","Device Model","Device ID","Data Source"
system,"2009-11-13 06:48:07 EET",,ROOT_HUB,"4&28fef180&0",jo-2009-11-16.E01
system,"2009-11-13 06:48:07 EET",,ROOT_HUB,"4&389651e0&0",jo-2009-11-16.E01
system,"2009-11-13 06:48:07 EET",,ROOT_HUB,"4&5e88044&0",jo-2009-11-16.E01
system,"2009-11-13 06:48:07 EET",,ROOT_HUB20,"4&36326108&0",jo-2009-11-16.E01
system,"2009-11-13 06:48:13 EET","Logitech, Inc.","Optical Wheel Mouse","5&2f6f8af0&0&2",jo-2009-11-16.E01
system,"2009-11-17 02:20:07 EET","LaCie, Ltd","Rugged Triple Interface Mobile Hard Drive",00D04B881007C255,jo-2009-11-16.E01
