"Source Name",URL,"Date Accessed",Title,"Program Name",Domain,"Data Source","Referrer URL"
places.sqlite,"http://www.bing.com/search?q=firefox+download&src=IE-SearchBox&Form=IE8SRC","2009-11-13 03:48:42 EET","firefox download - Bing","FireFox Analyzer",bing.com,jo-2009-11-16.E01,
places.sqlite,"http://www.microsoft.com/windows/internet-explorer/welcome.aspx","2009-11-13 03:48:46 EET","Welcome to Internet Explorer 8","FireFox Analyzer",microsoft.com,jo-2009-11-16.E01,
places.sqlite,"http://go.microsoft.com/fwlink/?LinkId=69157","2009-11-13 03:46:26 EET","http://go.microsoft.com/fwlink/?LinkId=69157","FireFox Analyzer",microsoft.com,jo-2009-11-16.E01,
places.sqlite,"http://www.mozilla.com/en-US/firefox/ie.html","2009-11-13 03:49:32 EET","Firefox Browser | Faster & Safer Internet | Free Download","FireFox Analyzer",mozilla.com,jo-2009-11-16.E01,
places.sqlite,"http://www.msn.com/rss/alsoonmsn.aspx","2009-11-13 03:46:24 EET","Also on MSN","FireFox Analyzer",msn.com,jo-2009-11-16.E01,
places.sqlite,"http://www.mozilla.com/firefox","2009-11-13 03:49:28 EET","http://www.mozilla.com/firefox","FireFox Analyzer",mozilla.com,jo-2009-11-16.E01,
places.sqlite,"http://www.mozilla.com/en-US/products/download.html?product=firefox-3.5.5&os=win&lang=en-US","2009-11-13 03:49:38 EET","Mozilla Download","FireFox Analyzer",mozilla.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/search","2009-11-13 03:49:14 EET","http://www.google.com/search","FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://go.microsoft.com/fwlink/?LinkID=121792","2009-11-13 03:46:44 EET","http://go.microsoft.com/fwlink/?LinkID=121792","FireFox Analyzer",microsoft.com,jo-2009-11-16.E01,
places.sqlite,http://www.msn.com/,"2009-11-13 03:49:38 EET",MSN.com,"FireFox Analyzer",msn.com,jo-2009-11-16.E01,
places.sqlite,"http://www.bing.com/search?q=firefox+download&src=IE-SearchBox&Form=IE8SRC&format=rss","2009-11-13 03:48:42 EET",RSS,"FireFox Analyzer",bing.com,jo-2009-11-16.E01,
places.sqlite,http://www.google.com/,"2009-11-13 03:49:04 EET",Google,"FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/search?hl=en&source=hp&q=firefox&aq=0&oq=fire&aqi=g10","2009-11-13 03:49:14 EET","firefox - Google Search","FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://ftp.heanet.ie/mirrors/ftp.mozilla.org/pub/mozilla.org/firefox/releases/3.5.5/win32/en-US/Firefox%20Setup%203.5.5.exe","2009-11-13 03:50:22 EET","http://ftp.heanet.ie/mirrors/ftp.mozilla.org/pub/mozilla.org/firefox/releases/3.5.5/win32/en-US/Firefox%20Setup%203.5.5.exe","FireFox Analyzer",heanet.ie,jo-2009-11-16.E01,
places.sqlite,"http://www.bing.com/search?q=Download+Firefox+2008&FORM=R5FD","2009-11-13 03:48:38 EET","Download Firefox 2008 - Bing","FireFox Analyzer",bing.com,jo-2009-11-16.E01,
places.sqlite,"http://www.mozilla.com/products/download.html?product=firefox-3.5.5&os=win&lang=en-US","2009-11-13 03:49:34 EET","http://www.mozilla.com/products/download.html?product=firefox-3.5.5&os=win&lang=en-US","FireFox Analyzer",mozilla.com,jo-2009-11-16.E01,
places.sqlite,"http://www.msn.com/rss/PopularSearches.aspx","2009-11-13 03:46:24 EET","Popular Searches","FireFox Analyzer",msn.com,jo-2009-11-16.E01,
places.sqlite,"http://www.msn.com/rss/top5search.aspx","2009-11-13 03:46:24 EET","People in the News","FireFox Analyzer",msn.com,jo-2009-11-16.E01,
places.sqlite,"http://www.bing.com/search?q=Download+Firefox+2008&FORM=R5FD&format=rss","2009-11-13 03:48:38 EET",RSS,"FireFox Analyzer",bing.com,jo-2009-11-16.E01,
places.sqlite,"http://en-us.www.mozilla.com/en-US/firefox/3.5.5/firstrun/","2009-11-13 03:53:04 EET","Welcome to Firefox","FireFox Analyzer",mozilla.com,jo-2009-11-16.E01,
places.sqlite,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-13 03:53:04 EET",firefox,"FireFox Analyzer",mozilla.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-13 03:53:00 EET","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-16.E01,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official"
places.sqlite,"http://www.google.com/search?q=mozrepl&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a","2009-11-13 03:53:17 EET","mozrepl - Google Search","FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/search?q=mozrepl+download&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a","2009-11-13 03:53:29 EET","mozrepl download - Google Search","FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/search?hl=en&client=firefox-a&rls=org.mozilla%3Aen-US%3Aofficial&hs=Tpl&q=mozrepl+download&btnG=Search&aq=f&oq=&aqi=","2009-11-13 03:53:39 EET","mozrepl download - Google Search","FireFox Analyzer",google.com,jo-2009-11-16.E01,"http://www.google.com/search?q=mozrepl+download&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a"
places.sqlite,"https://addons.mozilla.org/en-US/firefox/addon/2692","2009-11-13 03:53:56 EET","MozLab :: Add-ons for Firefox","FireFox Analyzer",mozilla.org,jo-2009-11-16.E01,"http://www.google.com/search?hl=en&client=firefox-a&rls=org.mozilla%3Aen-US%3Aofficial&hs=Tpl&q=mozrepl+download&btnG=Search&aq=f&oq=&aqi="
places.sqlite,"http://www.google.com/search?q=mozrepl&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a","2009-11-13 03:54:26 EET","mozrepl - Google Search","FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://wiki.github.com/bard/mozrepl","2009-11-13 03:54:35 EET","Home - mozrepl - GitHub","FireFox Analyzer",github.com,jo-2009-11-16.E01,"http://www.google.com/search?q=mozrepl&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a"
places.sqlite,"http://www.google.com/search?q=python+download&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a","2009-11-13 03:55:24 EET","python download - Google Search","FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/url?q=http://www.python.org/download/releases/2.6.2/&ei=drz8Su-JHISGMdKG_IgH&sa=X&oi=nshc&resnum=1&ct=result&cd=2&ved=0CAwQzgQoAQ&usg=AFQjCNHsr3HRBwMD-uwHZdHi7SfUIaZruw","2009-11-13 03:55:32 EET",url,"FireFox Analyzer",google.com,jo-2009-11-16.E01,"http://www.google.com/search?q=python+download&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a"
places.sqlite,"http://www.python.org/download/releases/2.6.2/","2009-11-13 03:55:27 EET","Python 2.6.2 Release","FireFox Analyzer",python.org,jo-2009-11-16.E01,"http://www.google.com/url?q=http://www.python.org/download/releases/2.6.2/&ei=drz8Su-JHISGMdKG_IgH&sa=X&oi=nshc&resnum=1&ct=result&cd=2&ved=0CAwQzgQoAQ&usg=AFQjCNHsr3HRBwMD-uwHZdHi7SfUIaZruw"
places.sqlite,"http://www.python.org/download/releases/2.6.4/","2009-11-13 03:55:37 EET","Python 2.6.4 Release","FireFox Analyzer",python.org,jo-2009-11-16.E01,"http://www.python.org/download/releases/2.6.2/"
places.sqlite,"http://www.python.org/ftp/python/2.6.4/python-2.6.4.msi","2009-11-13 03:55:49 EET",python-2.6.4.msi,"FireFox Analyzer",python.org,jo-2009-11-16.E01,"http://www.python.org/download/releases/2.6.4/"
places.sqlite,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-14 00:03:00 EET",firefox,"FireFox Analyzer",mozilla.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-14 00:02:57 EET","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-16.E01,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official"
places.sqlite,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-16 20:48:04 EET",firefox,"FireFox Analyzer",mozilla.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-16 20:47:58 EET","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-16.E01,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official"
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-16 20:48:04 EET","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"https://registration2.services.openoffice.org/RegistrationWeb/register/urn:st:bf89367e-504b-48ee-99a4-556ff56aee7a?product=OpenOffice.org&locale=en&cid=926117","2009-11-16 20:48:09 EET","urn:st:bf89367e-504b-48ee-99a4-556ff56aee7a","FireFox Analyzer",openoffice.org,jo-2009-11-16.E01,
places.sqlite,"https://registration2.services.openoffice.org/RegistrationWeb/OpenOffice.org/default/en_US/register-login.jsp","2009-11-16 20:48:06 EET","Register Your OpenOffice.org","FireFox Analyzer",openoffice.org,jo-2009-11-16.E01,"https://registration2.services.openoffice.org/RegistrationWeb/register/urn:st:bf89367e-504b-48ee-99a4-556ff56aee7a?product=OpenOffice.org&locale=en&cid=926117"
places.sqlite,http://webmail.m57.biz/,"2009-11-16 20:48:27 EET",webmail.m57.biz,"FireFox Analyzer",m57.biz,jo-2009-11-16.E01,
places.sqlite,"http://webmail.m57.biz/src/login.php","2009-11-16 20:48:23 EET","SquirrelMail - Login","FireFox Analyzer",m57.biz,jo-2009-11-16.E01,http://webmail.m57.biz/
places.sqlite,"http://mailboxes.m57.biz/","2009-11-16 20:48:38 EET","[ Mailbox Manager 1.0 ]","FireFox Analyzer",m57.biz,jo-2009-11-16.E01,"http://webmail.m57.biz/src/login.php"
places.sqlite,"https://registration2.services.openoffice.org/RegistrationWeb/register/urn:st:bf89367e-504b-48ee-99a4-556ff56aee7a?product=OpenOffice.org&locale=en&cid=926117","2009-11-16 20:52:15 EET","urn:st:bf89367e-504b-48ee-99a4-556ff56aee7a","FireFox Analyzer",openoffice.org,jo-2009-11-16.E01,
places.sqlite,"https://registration2.services.openoffice.org/RegistrationWeb/OpenOffice.org/default/en_US/register-login.jsp","2009-11-16 20:52:09 EET","Register Your OpenOffice.org","FireFox Analyzer",openoffice.org,jo-2009-11-16.E01,"https://registration2.services.openoffice.org/RegistrationWeb/register/urn:st:bf89367e-504b-48ee-99a4-556ff56aee7a?product=OpenOffice.org&locale=en&cid=926117"
places.sqlite,"https://registration2.services.openoffice.org/RegistrationWeb/login.do","2009-11-16 20:52:54 EET",login.do,"FireFox Analyzer",openoffice.org,jo-2009-11-16.E01,"https://registration2.services.openoffice.org/RegistrationWeb/OpenOffice.org/default/en_US/register-login.jsp"
places.sqlite,"http://registration2.services.openoffice.org/RegistrationWeb/OpenOffice.org/default/en_US/register-login.jsp?reg_pass2_error=true","2009-11-16 20:52:49 EET",register-login.jsp,"FireFox Analyzer",openoffice.org,jo-2009-11-16.E01,"https://registration2.services.openoffice.org/RegistrationWeb/login.do"
places.sqlite,"https://registration2.services.openoffice.org/","2009-11-16 20:52:49 EET","Sun Microsystems","FireFox Analyzer",openoffice.org,jo-2009-11-16.E01,"http://registration2.services.openoffice.org/RegistrationWeb/OpenOffice.org/default/en_US/register-login.jsp?reg_pass2_error=true"
places.sqlite,"https://inventory.sun.com/inventory/","2009-11-16 20:52:54 EET","Sun Inventory","FireFox Analyzer",sun.com,jo-2009-11-16.E01,"https://registration2.services.openoffice.org/"
places.sqlite,"http://mailboxes.m57.biz/?","2009-11-16 20:54:18 EET",/?,"FireFox Analyzer",m57.biz,jo-2009-11-16.E01,
places.sqlite,"http://mailboxes.m57.biz/?restart=1","2009-11-16 20:54:18 EET","[ Mailbox Manager 1.0 ]","FireFox Analyzer",m57.biz,jo-2009-11-16.E01,"http://mailboxes.m57.biz/?"
places.sqlite,http://www.google.com/,"2009-11-16 20:54:38 EET",Google,"FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-16 20:54:53 EET",firefox,"FireFox Analyzer",mozilla.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official","2009-11-16 20:54:50 EET","Mozilla Firefox Start Page","FireFox Analyzer",google.com,jo-2009-11-16.E01,"http://en-us.start3.mozilla.com/firefox?client=firefox-a&rls=org.mozilla:en-US:official"
places.sqlite,"http://www.google.com/#hl=en&source=hp&q=wikipedia&aq=0&aqi=g10&oq=wiki&fp=1c443ffcb5a5cce1","2009-11-16 20:55:06 EET","wikipedia - Google Search","FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://www.wikipedia.org/","2009-11-16 20:55:16 EET",Wikipedia,"FireFox Analyzer",wikipedia.org,jo-2009-11-16.E01,
places.sqlite,http://en.wikipedia.org/,"2009-11-16 20:55:20 EET",en.wikipedia.org,"FireFox Analyzer",wikipedia.org,jo-2009-11-16.E01,"http://www.wikipedia.org/"
places.sqlite,"http://en.wikipedia.org/wiki/Main_Page","2009-11-16 20:55:16 EET","Wikipedia, the free encyclopedia","FireFox Analyzer",wikipedia.org,jo-2009-11-16.E01,http://en.wikipedia.org/
places.sqlite,http://www.google.com/,"2009-11-16 20:55:34 EET",Google,"FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/#hl=en&source=hp&q=dell&aq=f&aqi=g10&oq=&fp=1c443ffcb5a5cce1","2009-11-16 20:55:38 EET","dell - Google Search","FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://www.google.com/aclk?sa=L&ai=CKRerEKABS8fFE6P-owTEosCGC-OJsHTvmdnWC5GazwUIABABUOqms9gBYMnu7IbIo_QZyAEBqgQZT9AjfKsHZ9Wmw3uHBUxvgvq-LqLyqGutAw&ggladgrp=368076685&gglcreat=3043822405&sig=AGiWqtyv3fl1uOj4r3KFI4o5-nML8oEW3g&q=http://na.link.decdna.net/n/43643/52191/altfarm.mediaplex.com/1qx79te%3B11%3B4%3B%3B8%3B%3Bbo8fs6%3B10m6dz%3B%3B66wa7%3B%3B1%3B/i/c%3F0%26pq%3D%252fad%252fck%252f12309%252d80731%252d2056%252d0%253fkw%253ddell%252b%2528exact%2529%2526mpre%253dhttp%25253A%25252F%25252Flt%252edell%252ecom%25252Flt%25252Flt%252easpx%25253FCID%25253D16010%252526LID%25253D380485%252526DGC%25253DST%252526DGSeg%25253DDHS%252526DURL%25253Dhttp%25253A%25252F%25252Fwww%252edell%252ecom%25252Fcontent%25252Ftopics%25252Freftopic%252easpx%25252Fbsd%25252Fodg%25252F13263%255fsearch%255fgeneric%255fhsb%25253Fc%2525253dus%25252526cs%2525253d%25252526l%2525253den%25252526s%2525253dgen%252526st%25253Ddell%252526ACD%25253D%253cx%253dthirdPartyTracking%2528%2527%252c%2527%252c1%252c64%2529%253e%252526AID%25253DDHS%255fSystems%26247cr%3D3043822405","2009-11-16 20:55:44 EET",aclk,"FireFox Analyzer",google.com,jo-2009-11-16.E01,
places.sqlite,"http://na.link.decdna.net/n/43643/52191/altfarm.mediaplex.com/1qx79te;11;4;;8;;bo8fs6;10m6dz;;66wa7;;1;/i/c?0&pq=%2fad%2fck%2f12309%2d80731%2d2056%2d0%3fkw%3ddell%2b%28exact%29%26mpre%3dhttp%253A%252F%252Flt%2edell%2ecom%252Flt%252Flt%2easpx%253FCID%253D16010%2526LID%253D380485%2526DGC%253DST%2526DGSeg%253DDHS%2526DURL%253Dhttp%253A%252F%252Fwww%2edell%2ecom%252Fcontent%252Ftopics%252Freftopic%2easpx%252Fbsd%252Fodg%252F13263%5fsearch%5fgeneric%5fhsb%253Fc%25253dus%252526cs%25253d%252526l%25253den%252526s%25253dgen%2526st%253Ddell%2526ACD%253D%3cx%3dthirdPartyTracking%28%27%2c%27%2c1%2c64%29%3e%2526AID%253DDHS%5fSystems&247cr=3043822405","2009-11-16 20:55:36 EET",c,"FireFox Analyzer",decdna.net,jo-2009-11-16.E01,"http://www.google.com/aclk?sa=L&ai=CKRerEKABS8fFE6P-owTEosCGC-OJsHTvmdnWC5GazwUIABABUOqms9gBYMnu7IbIo_QZyAEBqgQZT9AjfKsHZ9Wmw3uHBUxvgvq-LqLyqGutAw&ggladgrp=368076685&gglcreat=3043822405&sig=AGiWqtyv3fl1uOj4r3KFI4o5-nML8oEW3g&q=http://na.link.decdna.net/n/43643/52191/altfarm.mediaplex.com/1qx79te%3B11%3B4%3B%3B8%3B%3Bbo8fs6%3B10m6dz%3B%3B66wa7%3B%3B1%3B/i/c%3F0%26pq%3D%252fad%252fck%252f12309%252d80731%252d2056%252d0%253fkw%253ddell%252b%2528exact%2529%2526mpre%253dhttp%25253A%25252F%25252Flt%252edell%252ecom%25252Flt%25252Flt%252easpx%25253FCID%25253D16010%252526LID%25253D380485%252526DGC%25253DST%252526DGSeg%25253DDHS%252526DURL%25253Dhttp%25253A%25252F%25252Fwww%252edell%252ecom%25252Fcontent%25252Ftopics%25252Freftopic%252easpx%25252Fbsd%25252Fodg%25252F13263%255fsearch%255fgeneric%255fhsb%25253Fc%2525253dus%25252526cs%2525253d%25252526l%2525253den%25252526s%2525253dgen%252526st%25253Ddell%252526ACD%25253D%253cx%253dthirdPartyTracking%2528%2527%252c%2527%252c1%252c64%2529%253e%252526AID%25253DDHS%255fSystems%26247cr%3D3043822405"
places.sqlite,"http://altfarm.mediaplex.com/ad/ck/12309-80731-2056-0?kw=dell+(exact)&mpre=http%3A%2F%2Flt.dell.com%2Flt%2Flt.aspx%3FCID%3D16010%26LID%3D380485%26DGC%3DST%26DGSeg%3DDHS%26DURL%3Dhttp%3A%2F%2Fwww.dell.com%2Fcontent%2Ftopics%2Freftopic.aspx%2Fbsd%2Fodg%2F13263_search_generic_hsb%3Fc%253dus%2526cs%253d%2526l%253den%2526s%253dgen%26st%3Ddell%26ACD%3D52191,8,0,61500887,705832422,1258397715,dell,10399471,3043822405%26AID%3DDHS_Systems","2009-11-16 20:55:37 EET",12309-80731-2056-0,"FireFox Analyzer",mediaplex.com,jo-2009-11-16.E01,"http://na.link.decdna.net/n/43643/52191/altfarm.mediaplex.com/1qx79te;11;4;;8;;bo8fs6;10m6dz;;66wa7;;1;/i/c?0&pq=%2fad%2fck%2f12309%2d80731%2d2056%2d0%3fkw%3ddell%2b%28exact%29%26mpre%3dhttp%253A%252F%252Flt%2edell%2ecom%252Flt%252Flt%2easpx%253FCID%253D16010%2526LID%253D380485%2526DGC%253DST%2526DGSeg%253DDHS%2526DURL%253Dhttp%253A%252F%252Fwww%2edell%2ecom%252Fcontent%252Ftopics%252Freftopic%2easpx%252Fbsd%252Fodg%252F13263%5fsearch%5fgeneric%5fhsb%253Fc%25253dus%252526cs%25253d%252526l%25253den%252526s%25253dgen%2526st%253Ddell%2526ACD%253D%3cx%3dthirdPartyTracking%28%27%2c%27%2c1%2c64%29%3e%2526AID%253DDHS%5fSystems&247cr=3043822405"
