"Source Name",Path,"Date Accessed","Data Source",Comment
Definitions.lnk,"C:\Documents and Settings\Jo\My Documents\Definitions.odt","2009-11-17 02:10:09 EET",jo-2009-11-16.E01,
NTUSER.DAT,"C:\WINDOWS\system32\devmgmt.msc",,jo-2009-11-16.E01,"Recently opened according to Windows Management Console MRU"
