"Source Name",URL,"Date Accessed",Path,"Program Name",Domain,"Data Source",Comment
downloads.sqlite,"http://www.python.org/ftp/python/2.6.4/python-2.6.4.msi","2009-11-13 03:55:49 EET","C:/Documents and Settings/Jo/My Documents/Downloads/python-2.6.4.msi","FireFox Analyzer",python.org,jo-2009-11-16.E01,
"R79733[1].EXE:Zone.Identifier",,,"/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/EGJBGFJG/R79733[1].EXE",,,jo-2009-11-16.E01,"Internet Zone"
"Firefox Setup 3.5.5.exe:Zone.Identifier",,,"/Documents and Settings/Jo/My Documents/Firefox Setup 3.5.5.exe",,,jo-2009-11-16.E01,"Internet Zone"
